cameo_root,cameo_label,commodity,lag_days,pearson_r,pearson_p,spearman_r,spearman_p
04,Consult,ZW=F,10,0.0016160885512232423,0.9427519188229283,-0.010015617393602086,0.6562774088844509
04,Consult,ZW=F,20,-0.025902084719441568,0.2508684763420727,-0.0053148851070514615,0.8137650964431171
05,Support Diplomatically,CL=F,0,-0.008472625848027847,0.7104089807802189,-0.000837565839413231,0.9707201567451141
05,Support Diplomatically,CL=F,1,-0.022059909770963636,0.33361385743335126,-0.008629703089474592,0.7052887666544729
05,Support Diplomatically,CL=F,5,0.0015606911359655994,0.945471197235991,0.011060441560768646,0.6278734155989206
05,Support Diplomatically,CL=F,10,0.03667926624590188,0.10784497662004361,0.021000272705753928,0.3573600260049441
05,Support Diplomatically,CL=F,20,0.046751035516753275,0.040844361453129106,0.055174317015314146,0.015774174926838896
05,Support Diplomatically,GC=F,0,-0.01304973667519584,0.5596187251415605,-0.006259477406498852,0.7796078643823745
05,Support Diplomatically,GC=F,1,0.00966675187011274,0.6656264062857277,0.008856655341980603,0.6921486419252096
05,Support Diplomatically,GC=F,5,0.0015925779283687894,0.9432420967120989,0.008502749128121783,0.7038572640459124
05,Support Diplomatically,GC=F,10,0.003617823048439892,0.8715154761589116,0.022481155284925402,0.3148305118593874
05,Support Diplomatically,GC=F,20,-0.010036370555752842,0.6543901764216007,0.021373910670366255,0.340353603273455
05,Support Diplomatically,ZW=F,0,0.01608345216819139,0.47478207439790787,0.015107127172757553,0.5020111260639629
05,Support Diplomatically,ZW=F,1,0.027007540062518844,0.23001960860130827,0.026222119983016445,0.2438614143086155
05,Support Diplomatically,ZW=F,5,0.02576486198371039,0.25218403095134617,0.025149989057074135,0.2636843434996817
05,Support Diplomatically,ZW=F,10,0.007919858421209833,0.7248928777670269,-0.001156778542174828,0.9590052922111321
05,Support Diplomatically,ZW=F,20,-0.017213364205215034,0.4453482125088892,-0.005286495168834717,0.8146954906581083
06,Cooperate Economically/Militarily,CL=F,0,-0.004423484365200427,0.8462905464028568,-0.04653453885616706,0.04130928739074166
06,Cooperate Economically/Militarily,CL=F,1,-0.05308811732030923,0.019904168339437433,-0.03530994969997558,0.12164911523237948
06,Cooperate Economically/Militarily,CL=F,5,-0.008851874431274127,0.6980694564995731,-0.012571653458192573,0.581664003717989
06,Cooperate Economically/Militarily,CL=F,10,0.03170627408269852,0.16458061380830558,0.02304760018089242,0.3124181989450498
06,Cooperate Economically/Militarily,CL=F,20,0.013203121167327336,0.5638557542963137,0.0002642957921072405,0.9907829023909869
06,Cooperate Economically/Militarily,GC=F,0,0.01751529015840988,0.4335837330933522,0.021960662284477385,0.326168463970848
06,Cooperate Economically/Militarily,GC=F,1,-0.04834856296735059,0.030566778724159964,-0.05095843214168082,0.022633993940545688
06,Cooperate Economically/Militarily,GC=F,5,0.007132252055820514,0.7498414479908707,0.027000790074618333,0.22732461765871428
06,Cooperate Economically/Militarily,GC=F,10,-0.012561642531544893,0.5743986717622355,0.013398064459303088,0.5491850107027276
06,Cooperate Economically/Militarily,GC=F,20,0.001048204386953945,0.9627187180101768,-0.019993279985763873,0.37258513198131626
06,Cooperate Economically/Militarily,ZW=F,0,0.021803634198562277,0.3325615377837566,0.03457261190561,0.12436547326880393
06,Cooperate Economically/Militarily,ZW=F,1,-0.008820840992339663,0.6950842555113104,-0.022531210903537983,0.3166773082166482
06,Cooperate Economically/Militarily,ZW=F,5,-0.011289086903991424,0.6159134050668333,0.017205589674574803,0.44451397393568526
06,Cooperate Economically/Militarily,ZW=F,10,0.01424760948667472,0.5266490106789019,-0.0035882889668205384,0.8733164135594161
06,Cooperate Economically/Militarily,ZW=F,20,-0.0038118047266107475,0.8658359550243906,-0.019929618438183194,0.3770083848643361
07,Provide Aid,CL=F,0,-0.014931152912360694,0.5128721624813555,-0.014083482984738186,0.5370907653635129
07,Provide Aid,CL=F,1,0.004909892994385483,0.8296347456369629,0.029243444590750553,0.19990420846265233
07,Provide Aid,CL=F,5,4.4448438320333905e-05,0.9984458123380013,0.004645504188815186,0.8386790666476605
07,Provide Aid,CL=F,10,-0.043316531699359354,0.05754161911602807,-0.004884065968333752,0.8305172740858129
07,Provide Aid,CL=F,20,0.013823614220203152,0.5455730565784875,0.020014160240751196,0.3815081533107507
07,Provide Aid,GC=F,0,0.012269246035142664,0.5833402435296071,0.024086594074623498,0.28150820477345884
07,Provide Aid,GC=F,1,0.008224813081721283,0.713102095486141,0.00581259220757226,0.7949781489349073
07,Provide Aid,GC=F,5,-0.007455996130402339,0.7388913420130483,0.0034834633146027375,0.8762480090624829
07,Provide Aid,GC=F,10,-0.010405305834327064,0.6418043587604966,-0.01699447030368225,0.4473827308629038
07,Provide Aid,GC=F,20,0.012188900790014143,0.5866536880079337,0.005188317899478064,0.8169882846267708
07,Provide Aid,ZW=F,0,-0.0010952734302266138,0.9611831849784579,0.015359977508603205,0.4948810017476636
